height_score,player_x,player_y,nearest_plat_x,nearest_plat_y
5,287,601,291,582
0,287,603,291,582
0,287,606,291,582
0,287,610,291,582
0,287,615,291,582
0,287,621,291,582
0,287,628,291,582
0,287,631,291,582
0,287,612,291,582
0,287,594,291,582
0,287,577,291,582
0,287,561,291,582
0,287,546,291,582
0,287,532,253,502
0,287,519,253,502
0,287,507,253,502
0,287,496,253,502
0,287,486,253,502
0,287,477,253,502
0,287,469,253,502
0,287,462,253,502
0,287,456,253,502
0,287,451,253,502
0,287,447,253,502
0,287,444,253,502
0,287,442,253,502
0,287,441,253,502
0,287,441,253,502
0,287,442,253,502
0,287,444,253,502
0,287,447,253,502
0,287,451,253,502
0,287,456,253,502
0,287,461,253,502
0,287,467,253,502
0,287,467,253,502
0,287,448,253,502
0,287,430,253,502
0,287,413,253,502
0,287,397,253,502
0,287,382,403,355
0,287,368,403,355
0,287,355,403,355
0,287,343,403,355
0,287,332,403,355
0,287,322,403,355
0,287,313,403,355
1,287,305,403,355
1,287,298,403,355
1,287,292,403,355
1,287,287,403,355
1,287,283,403,355
1,287,280,403,355
1,287,278,403,355
2,287,277,403,355
2,287,277,403,355
2,287,278,403,355
2,287,280,403,355
2,287,283,403,355
2,287,287,403,355
2,287,292,403,355
2,287,297,403,355
2,287,303,403,355
2,287,310,403,355
2,287,318,403,355
2,287,327,403,355
2,287,337,403,355
2,287,348,403,355
2,287,360,403,355
2,287,373,403,355
2,287,387,253,502
2,287,402,253,502
2,287,418,253,502
2,287,435,253,502
2,287,453,253,502
2,287,467,253,502
2,287,448,253,502
2,287,430,253,502
2,287,413,253,502
2,287,397,253,502
2,287,382,403,355
2,289,368,403,355
2,292,355,403,355
2,295,343,403,355
2,299,332,403,355
2,303,322,403,355
2,308,313,403,355
2,313,305,403,355
2,319,298,403,355
2,325,292,403,355
2,332,287,403,355
2,339,283,403,355
2,347,280,403,355
2,355,278,403,355
2,364,277,403,355
2,373,277,403,355
2,383,278,403,355
2,393,280,403,355
2,404,283,403,355
2,415,287,403,355
2,427,292,403,355
2,438,297,403,355
2,448,303,403,355
2,457,310,403,355
2,465,318,403,355
2,472,320,403,355
2,478,301,403,355
2,483,283,403,355
2,487,266,403,355
2,490,250,403,355
2,492,235,403,355
2,493,221,403,355
2,493,208,403,355
3,493,196,403,355
3,493,185,403,355
3,493,175,403,355
3,493,166,403,355
3,493,158,390,-24
4,493,151,390,-24
4,493,145,390,-24
4,493,140,390,-24
4,493,136,390,-24
4,493,133,390,-24
4,493,131,390,-24
4,493,130,390,-24
5,493,130,390,-24
5,493,131,390,-24
5,493,133,390,-24
5,493,136,390,-24
5,493,140,390,-24
5,493,145,390,-24
5,493,150,390,-24
5,493,156,390,-24
5,493,163,403,355
5,493,171,403,355
5,493,180,403,355
